reviews,movie_id,usernames,ratings,binary_rating
"FULL SPOILER-FREE REVIEW @ https://www.firstshowing.net/2023/review-illuminations-super-mario-bros-movie-left-a-me-so-happy/""The Super Mario Bros. Movie delivers everything I wanted. Packed with fantastic references that will warm the hearts of those who lived and still live with Nintendo and Mario up close. Along with energetic action, dazzling animation and world-building, and iconic music – Brian Tyler's score goes straight into my Spotify playlist. Mario and Co. marked my childhood, and, still today, continue to offer me wonderful memories for life. As a viewer clearly belonging to the target audience, I couldn't have left the cinema more joyful. Ya-hoo!""Rating: A-",502356,msbreviews,8.0,Positive
"This and Last of Us are two recent movies-from-games that have really impressed me. Saw this in a theatre in Brooklyn, really couldn't ask for a better place to do so.",502356,rsanek,9.0,Positive
"The Super Mario Bros. Movie is a fun ride through the iconic world of Mario. The screenplay is admittedly very bare bones, and the characters lack depth, but the film still manages to capture the essence of the beloved video game franchise. The writers do not attempt to do anything beyond create a narrative that intentionally puts our characters in worlds and areas that are instantly recognizable to the audience. This makes the film feel like a Mario game come to life so that audiences can say “that is like Mario Kart or Super Smash Bros.” The movie pacing flies at a breakneck speed, and I felt that this movie could have benefited from a slightly longer runtime to flesh out the story and characters a bit more.I was initially nervous about how the voice acting would hold up, but I was pleasantly surprised. Chris Pratt's voice as Mario is not over the top, which works well. It would have been extremely annoying to hear the super Italian Mario accent for a full hour and thirty minutes. Jack Black's portrayal of Bowser steals the show and was the best of the film. Anna Taylor Joy and Seth Rogan were good as Princess Peach and Donkey Kong, although I think Rogan may have injected a bit too much of himself in the character.The direction of the film is solid, with great action set pieces and creative camera angles that make the action feel exciting and dynamic. The animation is stunning, with the characters and world directly designed off the games, but with more polish and details than ever before. The lighting is beautiful, with the bright lights of Rainbow Road and the dark, fiery flames of Bowser standing out as highlights.Overall, The Super Mario Bros. Movie may not be the deepest or most complex film, but it is a good time for fans of the Mario franchise. The movie captures the fun and whimsy tone of the games and brings it to life on the big screen. While the comedy may not hit every mark, the voice acting, and direction make up for it. I am excited to see where this film series goes next.Score: 72%Verdict: Good",502356,TitanGusang,7.0,Positive
SOOOOO FIRE I LOVEEEE MARIO PLEEASE MAKE ANOTHER I LOVE YOU MARIO <3,502356,holdenc,10.0,Positive
" Guardians of the Galaxy Vol. 3 is the perfect farewell to this quirky group of rogues we never expected to love so much. Our faith in the Marvel Cinematic Universe waned throughout Phase 4 with films that felt hollow, rushed, and insincere. Guardians of the Galaxy Vol. 3 rekindled my hope as James Gunn and the cast’s love and passion for these characters shined in every moment of this beautiful, heartfelt send-off. Gunn reminded us of the magic of comic book movies when the storyteller cares more about the characters than the box office. Chris Pratt, Bradley Cooper, Karen Gillan, Dave Bautista, and the rest of the cast pour themselves into entertaining and genuine performances. This film is surprisingly emotional and had me wondering how they convinced me to care so deeply about such a zany group of goofballs, but that they did. Vol. 3 is one of the best conclusions to a film trilogy that had me leave the theater full of satisfaction and nostalgia. While Guardians of the Galaxy Vol. 3 is wonderful in nearly every way, if I had a complaint, it would be the soundtrack felt forced at times rather than complimenting strong moments in the first film. The villain wasn’t exceptional but was better than the average Marvel villain, and honestly, Vol. 3 wasn’t about the villain or battles as much as it was a farewell to a family of heroes we have all come to love. This movie is well worth your time, and the fantastic effects and cinematography warrant a trip to the cinema to enjoy it to its fullest! MCU doubters need to set aside their skepticism and enjoy saying goodbye to these beloved characters with this outstanding film.",447365,mooney240,9.0,Positive
"**A heartfelt & entrancing closure to our favourite band of misfits from marvel **GOTG Vol 3 is a fantastic, emotionally immersive product from Marvel which not only made me delighted with the experience but also revived my faith in Marvel Studios. With the vibrant music from the past, hillarious chemistry between the leads , striking action set pieces packaged with an emotive backstory this one is bound to be loved and cherished to glory by all the loyal marvel fanatics. After a long time, Marvel delivers a beautiful and wholesome experience. While everyone from the cast gets their due share of high moments but this film belongs to Rocket. The true MVP of the film. The High Evolutionary's character was unforgiving and brilliant in the context of the story. The screenplay never dissapoints and keeps you engaged even with its long runtime of 150mins. An delightful film by James Gunn who finishes things off at Marvel to focus on DC's future. Overall, GOTG3 is an uproarious, emotional and probably the best marvel flicks after endgame which leaves you with smile in the end.",447365,mynameritesh,9.0,Positive
"FULL SPOILER-FREE REVIEW @ https://www.firstshowing.net/2023/review-guardians-of-the-galaxy-vol-3-is-a-satisfying-conclusion-to-gunns-trilogy/""Guardians of the Galaxy Vol. 3 is an emotionally powerful, tear-inducing ""farewell"" to James Gunn and his Guardians. Rocket's bittersweet storyline is the soul, heart, and engine running the best MCU film since Spider-Man: No Way Home. It's visually stunning, with exceptional VFX work. The score and soundtrack couldn't be more perfectly matched. Superb performances from the compelling protagonists and even the fun cameos. A better comedy-drama balance than its predecessor, while still offering tons of entertaining sequences. A few minor issues hold it back from standing out as ""one of the greats"", but it was hard to deliver a more satisfying conclusion to this much-beloved trilogy. And also – a final warning to all animal lovers who may find the cruelty displayed on the screen too much for them to enjoy the movie.""Rating: A-",447365,msbreviews,8.0,Positive
Good movie!,603692,romang,4.0,Negative
"**John Wick: Chapter 4 is at the peak of action cinema and fight choreography. What the film lacks in story is dramatically overcome with the most stunning action set pieces ever seen.**John Wick: Chapter 4 is an overwhelming feast of action brilliance! For the entire 2.5-hour runtime, this movie transitions from weapon to weapon, set piece to set piece, and spectacle to spectacle topping anything ever seen. The fight sequences never stop, and their beauty and intricacies drop jaw while breaking jaw. From the scene with the nunchucks to swords to shotguns to hatchets to hand-to-hand - among the greatest, if not the pinnacle, of action choreography. The cinematography creatively showcases each scene and battle, painting the action in bright colors and finding clever angles to keep the action fresh and engaging. As always, Reeves is incredible in the role, but the supporting cast of martial artists helps make this film what it is with experienced actors like Hiroyuki Sanada and Scott Adkins. But the absolute standout is Donnie Yen; his speed and skill are breathtaking as he steals every scene he is in. Unfortunately, despite all of its stunning brilliance, the story takes a lot of shortcuts to wrap up John Wick’s story, which disappoints a little. The method to end it all seems like something that would have been mentioned several movies ago. But honestly, who cares? We don’t go to a John Wick movie for a deep story. We go for the martial arts and gun-fu, and John Wick: Chapter 4 delivers an unparalleled masterpiece of violence.",603692,mooney240,9.0,Positive
"FULL SPOILER-FREE REVIEW @ https://www.firstshowing.net/2023/review-john-wick-chapter-4-is-a-masterclass-on-action-filmmaking/""John Wick: Chapter 4 concludes the game-changing saga with a relentless, ruthless action masterclass that ultimately justifies its epic length. The jaw-dropping stunts deserve the ""some of the best ever"" hyperbole, and the supporting cast holds brilliant additions - Donnie Yen and the dog are my MVPs. By far, the most visually striking film of all, boasting colorful cinematography that reflects the characters' spirits. Still, the importance of lighting and camera work in the spectacular action set pieces is truly impressive - THAT sequence shot from above is an all-timer. Original remains supreme, nonetheless.""Rating: A-",603692,msbreviews,8.0,Positive
