Technique,Model,Balanced Train,Prompt,0,16,32,64,128,256,512,1024
Weak Supervision,,True,,,0.50 ± 0.00,0.53 ± 0.00,0.56 ± 0.00,0.64 ± 0.00,0.67 ± 0.01,0.74 ± 0.01,0.82 ± 0.01
Weak Supervision,,False,,,0.49 ± 0.00,0.44 ± 0.00,0.53 ± 0.00,0.54 ± 0.00,0.60 ± 0.01,0.69 ± 0.01,0.74 ± 0.00
Transfer Learning,distilbert,True,,0.42 ± 0.11,0.53 ± 0.10,0.62 ± 0.06,0.69 ± 0.04,0.70 ± 0.00,0.72 ± 0.04,0.79 ± 0.03,0.78 ± 0.02
Transfer Learning,distilbert,False,,0.42 ± 0.11,0.47 ± 0.00,0.47 ± 0.00,0.47 ± 0.00,0.47 ± 0.00,0.68 ± 0.02,0.80 ± 0.02,0.83 ± 0.00
Transfer Learning,deberta-v3,True,,0.44 ± 0.07,0.28 ± 0.21,0.44 ± 0.34,0.69 ± 0.07,0.72 ± 0.09,0.80 ± 0.01,0.82 ± 0.02,0.82 ± 0.00
Transfer Learning,deberta-v3,False,,0.44 ± 0.07,0.47 ± 0.00,0.47 ± 0.00,0.47 ± 0.00,0.47 ± 0.00,0.58 ± 0.22,0.82 ± 0.00,0.83 ± 0.02
Prompt Engineering,distilbert,True,[text] Is this text abusive? ,0.46 ± 0.00,0.37 ± 0.01,0.48 ± 0.14,0.68 ± 0.08,0.78 ± 0.01,0.77 ± 0.02,0.81 ± 0.01,0.69 ± 0.14
Prompt Engineering,distilbert,False,[text] Is this text abusive? ,0.46 ± 0.00,0.47 ± 0.00,0.48 ± 0.02,0.55 ± 0.04,0.67 ± 0.06,0.73 ± 0.05,0.79 ± 0.04,0.80 ± 0.02
Prompt Engineering,distilbert,True,[text] Does this text contain abuse? ,0.47 ± 0.00,0.37 ± 0.01,0.50 ± 0.27,0.47 ± 0.25,0.78 ± 0.01,0.80 ± 0.01,0.81 ± 0.03,0.77 ± 0.04
Prompt Engineering,distilbert,False,[text] Does this text contain abuse? ,0.47 ± 0.00,0.51 ± 0.07,0.47 ± 0.00,0.50 ± 0.02,0.63 ± 0.13,0.69 ± 0.05,0.74 ± 0.11,0.81 ± 0.01
Prompt Engineering,distilbert,True,[text] It was? ,0.47 ± 0.00,0.37 ± 0.01,0.57 ± 0.05,0.66 ± 0.14,0.76 ± 0.06,0.74 ± 0.09,0.82 ± 0.01,0.75 ± 0.07
Prompt Engineering,distilbert,False,[text] It was? ,0.47 ± 0.00,0.47 ± 0.00,0.61 ± 0.03,0.62 ± 0.01,0.71 ± 0.01,0.72 ± 0.06,0.77 ± 0.04,0.80 ± 0.01
Prompt Engineering,gpt2,True,[text] Is this text abusive? ,0.53 ± 0.00,0.50 ± 0.05,0.54 ± 0.37,0.65 ± 0.16,0.82 ± 0.01,0.72 ± 0.11,0.82 ± 0.02,0.75 ± 0.02
Prompt Engineering,gpt2,False,[text] Is this text abusive? ,0.53 ± 0.00,0.56 ± 0.07,0.48 ± 0.01,0.60 ± 0.12,0.80 ± 0.03,0.72 ± 0.11,0.79 ± 0.02,0.83 ± 0.01
Prompt Engineering,gpt2,True,[text] Does this text contain abuse? ,0.56 ± 0.00,0.44 ± 0.09,0.73 ± 0.04,0.57 ± 0.23,0.78 ± 0.08,0.78 ± 0.09,0.84 ± 0.00,0.71 ± 0.03
Prompt Engineering,gpt2,False,[text] Does this text contain abuse? ,0.56 ± 0.00,0.54 ± 0.05,0.48 ± 0.03,0.66 ± 0.08,0.77 ± 0.07,0.73 ± 0.14,0.81 ± 0.02,0.82 ± 0.01
Prompt Engineering,gpt2,True,[text] It was? ,0.50 ± 0.00,0.45 ± 0.04,0.58 ± 0.11,0.77 ± 0.01,0.60 ± 0.03,0.74 ± 0.09,0.77 ± 0.03,0.80 ± 0.05
Prompt Engineering,gpt2,False,[text] It was? ,0.50 ± 0.00,0.55 ± 0.11,0.65 ± 0.09,0.76 ± 0.03,0.73 ± 0.04,0.79 ± 0.04,0.79 ± 0.03,0.82 ± 0.02
