Technique,Model,Prompt,0,16,32,64,128,256,512,1024
Weak Supervision,,,,0.64 ± 0.00,0.63 ± 0.00,0.63 ± 0.00,0.64 ± 0.02,0.66 ± 0.00,0.66 ± 0.00,0.66 ± 0.00
Weak Supervision,,,,0.64 ± 0.00,0.63 ± 0.00,0.63 ± 0.00,0.64 ± 0.02,0.66 ± 0.00,0.66 ± 0.00,0.66 ± 0.00
Transfer Learning,distilbert,,0.39 ± 0.06,0.49 ± 0.15,0.49 ± 0.16,0.66 ± 0.14,0.78 ± 0.06,0.84 ± 0.02,0.85 ± 0.01,0.85 ± 0.00
Transfer Learning,deberta-v3,,0.46 ± 0.09,0.34 ± 0.01,0.40 ± 0.13,0.59 ± 0.24,0.90 ± 0.05,0.93 ± 0.02,0.93 ± 0.01,0.93 ± 0.01
Prompt Engineering,distilbert,[text] Is this text negative? ,0.40 ± 0.00,0.41 ± 0.10,0.53 ± 0.03,0.55 ± 0.08,0.58 ± 0.11,0.64 ± 0.03,0.77 ± 0.04,0.65 ± 0.31
Prompt Engineering,distilbert,[text] Does this text contain negative sentiment? ,0.40 ± 0.00,0.46 ± 0.10,0.51 ± 0.03,0.50 ± 0.09,0.45 ± 0.06,0.56 ± 0.18,0.76 ± 0.02,0.80 ± 0.02
Prompt Engineering,distilbert,[text] It was? ,0.38 ± 0.00,0.37 ± 0.02,0.43 ± 0.06,0.59 ± 0.03,0.47 ± 0.16,0.62 ± 0.08,0.75 ± 0.02,0.76 ± 0.04
Prompt Engineering,gpt2,[text] Is this text negative? ,0.39 ± 0.00,0.50 ± 0.08,0.49 ± 0.18,0.57 ± 0.11,0.57 ± 0.28,0.79 ± 0.03,0.84 ± 0.02,0.85 ± 0.02
Prompt Engineering,gpt2,[text] Does this text contain negative sentiment? ,0.48 ± 0.00,0.39 ± 0.06,0.55 ± 0.11,0.64 ± 0.05,0.69 ± 0.28,0.80 ± 0.05,0.87 ± 0.01,0.86 ± 0.03
Prompt Engineering,gpt2,[text] It was? ,0.33 ± 0.00,0.48 ± 0.09,0.55 ± 0.10,0.54 ± 0.12,0.45 ± 0.21,0.77 ± 0.04,0.83 ± 0.05,0.84 ± 0.01
